source,target,value,step_from,step_to,gse_ids,layer
Bacteria,DTP + Polio + HepB,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,Haemophilus influenzae,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,Neisseria meningitidis,6,0,1,GSE224584;GSE139529;GSE139529;GSE131914;GSE132199;GSE132199,pathogen_type to target_pathogen
Bacteria,Tuberculosis,3,0,1,GSE264141;GSE264141;GSE264141,pathogen_type to target_pathogen
Protozoa,Schistosome,3,0,1,GSE164094;GSE164094;GSE222444,pathogen_type to target_pathogen
Virus,Ad26,2,0,1,GSE264344;GSE264344,pathogen_type to target_pathogen
Virus,HBV,1,0,1,GSE120661,pathogen_type to target_pathogen
Virus,Hepatitis B,1,0,1,GSE120661,pathogen_type to target_pathogen
Virus,Influenza,6,0,1,GSE120661;GSE182858;GSE182858;GSE182858;GSE182858;GSE120661,pathogen_type to target_pathogen
Virus,RSV,1,0,1,GSE143617,pathogen_type to target_pathogen
Virus,SARS-CoV-2,5,0,1,GSE261311;GSE223476;GSE223476;GSE223476;GSE223476,pathogen_type to target_pathogen
Ad26,Whole,2,1,2,GSE264344;GSE264344,target_pathogen to target_antigen
DTP + Polio + HepB,Pentavac,1,1,2,GSE120661,target_pathogen to target_antigen
HBV,Engerix,1,1,2,GSE120661,target_pathogen to target_antigen
Haemophilus influenzae,HibB conjugate vaccine,1,1,2,GSE120661,target_pathogen to target_antigen
Hepatitis B,Engerix,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Agrippal,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Fluad,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Influenza A Cal/09,2,1,2,GSE182858;GSE182858,target_pathogen to target_antigen
Influenza,Quadrivalent 2019-2020,2,1,2,GSE182858;GSE182858,target_pathogen to target_antigen
Neisseria meningitidis,ACWY,1,1,2,GSE224584,target_pathogen to target_antigen
Neisseria meningitidis,Bexsero,3,1,2,GSE131914;GSE132199;GSE132199,target_pathogen to target_antigen
Neisseria meningitidis,fHbp,2,1,2,GSE139529;GSE139529,target_pathogen to target_antigen
RSV,F protein,1,1,2,GSE143617,target_pathogen to target_antigen
SARS-CoV-2,RBD,3,1,2,GSE261311;GSE223476;GSE223476,target_pathogen to target_antigen
SARS-CoV-2,Spike,2,1,2,GSE223476;GSE223476,target_pathogen to target_antigen
Schistosome,Whole,3,1,2,GSE164094;GSE164094;GSE222444,target_pathogen to target_antigen
Tuberculosis,Ag85B-ESAT6-MPT64-Rv2660c,3,1,2,GSE264141;GSE264141;GSE264141,target_pathogen to target_antigen
ACWY,Polysaccharide,1,2,3,GSE224584,target_antigen to vaccine_type
Ag85B-ESAT6-MPT64-Rv2660c,Viral vector,3,2,3,GSE264141;GSE264141;GSE264141,target_antigen to vaccine_type
Agrippal,Inactivated,1,2,3,GSE120661,target_antigen to vaccine_type
Bexsero,Subunit,3,2,3,GSE131914;GSE132199;GSE132199,target_antigen to vaccine_type
Engerix,Subunit,2,2,3,GSE120661;GSE120661,target_antigen to vaccine_type
F protein,Subunit,1,2,3,GSE143617,target_antigen to vaccine_type
Fluad,Inactivated,1,2,3,GSE120661,target_antigen to vaccine_type
HibB conjugate vaccine,Subunit,1,2,3,GSE120661,target_antigen to vaccine_type
Influenza A Cal/09,Inactivated,2,2,3,GSE182858;GSE182858,target_antigen to vaccine_type
Pentavac,Multiple,1,2,3,GSE120661,target_antigen to vaccine_type
Quadrivalent 2019-2020,Inactivated,2,2,3,GSE182858;GSE182858,target_antigen to vaccine_type
RBD,Subunit,1,2,3,GSE261311,target_antigen to vaccine_type
