gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE180384,Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),35087093,Adjuvant,Adjuvant,Adjuvant,Adjuvant,3M052-Alum,Subcutaneous,Lymph node,NA,scRNAseq
GSE189000,Dithranol as novel co-adjuvant for non-invasive dermal vaccination,36153349,Adjuvant,Adjuvant,Adjuvant,Adjuvant,IMI-Sol,Transcutaneous,Skin,NA,Bulk
GSE112920,IL-27 in vaccine elicited cellular immunity,30194241,Adjuvant,None,Adjuvant,Adjuvant,Poly I:C and Anti-CD40,Intraperitoneal,Spleen,NA,Bulk
GSE268421,Immunization Induces Inflammation in the Mouse Heart during Spaceflight,40065216,Bacteria,Tetanus,Tetanus toxin,Toxoid,CpG,Intraperitoneal,Heart,NA,Bulk
GSE174849,Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling,34516780,Bacteria,Klebsiella,Omp,Subunit,LTA1,Intrapulmonar,Lung,NA,Bulk
GSE104337,Modeling of the Response to a Multiple Vaccination Schedule Using the Adjuvant Neisseria meningitidis Porin B,,Bacteria,Neisseria meningitidis,OVA,Subunit,PorB,Subcutaneous,Spleen,NA,Microarray
GSE104337,Modeling of the Response to a Multiple Vaccination Schedule Using the Adjuvant Neisseria meningitidis Porin B,,Bacteria,Neisseria meningitidis,PorB,Subunit,PorB,Subcutaneous,Spleen,NA,Microarray
GSE141729,Transcriptome response of lung in response to vaccination of inactivated whole cells of A. baumannii,34544549,Bacteria,Acinobacter baumannii,Whole,Inactivated,NA,Intranasal,Lung,NA,Bulk
GSE125765,RNA-sequencing of NALT from mouse after intranasal immunization with B. abortus rMDH loaded chitosan nanoparticles (CNs),32027689,Bacteria,Bovine crucellosis,rMDH protein,Subunit,NA,Intranasal,Nasal-associated lymphoid tissue,NALT,Bulk
GSE121040,Transcriptome analysis of Brucella abortus S19∆per (a perosaminesynthetase gene mutant of strain S19)  immunized mice spleen revealed activation of MHC-I and MHC-II pathways,33062939,Bacteria,Brucella abortus,Brucella abortus S19∆per mutant,Attenuated,NA,Intraperitoneal,Spleen,NA,Bulk
GSE254248,Transcriptional profiling of spleens from mice challenged with Brucella melitensis with or without prior vaccination.,38586904,Bacteria,Brucella melitensis,Whole,Attenuated,NA,Subcutaneous,Spleen,NA,Bulk
GSE144218,Transcriptional responses in muscle of pregnant mouse upon immunization,32219001,Bacteria,DTP,Boostrix,Multiple,NA,Intramuscular,Muscle,NA,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Bacteria,DTP + Polio + HepB,Pentavac,Multiple,NA,Intramuscular,Blood,PBMCs,Microarray
GSE186408,Novel transcriptional and translational biomarkers of tularemia vaccine efficacy in a mouse inhalation model: proof of concept,,Bacteria,Francisella tularensis,Whole,Attenuated,NA,Intradermal,Spleen,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Bacteria,Haemophilus influenzae,HibB conjugate vaccine,Subunit,NA,Intramuscular,Blood,PBMCs,Microarray
GSE178385,Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq],34516780; 38594380,Bacteria,Klebsiella,Heat-killed,Inactivated,NA,Intranasal,Lung,NA,scRNAseq
