condition,genes,log2fold_change,padj,pvalue,direction
6 hr,C1QA,0.073035,0.01,0.01,up
6 hr,CCL19,-0.00653,0.01,0.01,down
6 hr,CCL2,0.156324,0.01,0.01,up
6 hr,CCL3,-0.05712,0.01,0.01,down
6 hr,CCL4,0.36608,0.01,0.01,up
6 hr,CCL7,0.282338,0.01,0.01,up
6 hr,CCL8,0.60568,0.01,0.01,up
6 hr,CD274,0.002156,0.01,0.01,up
6 hr,CHI3L1,0.227881,0.01,0.01,up
6 hr,CRP,-0.04357,0.01,0.01,down
6 hr,CSF1,0.027873,0.01,0.01,up
6 hr,CSF2,0.776429,0.01,0.01,up
6 hr,CSF3,0.189109,0.01,0.01,up
6 hr,CX3CL1,0.030548,0.01,0.01,up
6 hr,CXCL10,0.276521,0.01,0.01,up
6 hr,CXCL11,0.57199,0.01,0.01,up
6 hr,CXCL9,-0.15857,0.01,0.01,down
6 hr,FGF19,0.415833,0.01,0.01,up
6 hr,FURIN,0.154654,0.01,0.01,up
6 hr,IFNA1; IFNA13,0.136781,0.01,0.01,up
6 hr,IFNA2,0.030231,0.01,0.01,up
6 hr,IFNG,2.434509,0.01,0.01,up
6 hr,IFNL1,-0.06857,0.01,0.01,down
6 hr,IFNW1,-0.71931,0.01,0.01,down
6 hr,IL10,0.892828,0.01,0.01,up
6 hr,IL13,0.245401,0.01,0.01,up
6 hr,IL15,0.056583,0.01,0.01,up
6 hr,IL18BP,-0.02261,0.01,0.01,down
6 hr,IL1RN,0.600124,0.01,0.01,up
6 hr,IL2,0.024504,0.01,0.01,up
6 hr,IL27,-0.11587,0.01,0.01,down
6 hr,IL6,3.456146,0.01,0.01,up
6 hr,LIF,1.083499,0.01,0.01,up
6 hr,LTA,-0.00921,0.01,0.01,down
6 hr,TGFB3,0.233485,0.01,0.01,up
6 hr,TNF,0.322806,0.01,0.01,up
6 hr,TNFRSF1B,0.121736,0.01,0.01,up
6 hr,TNFSF10,0.068368,0.01,0.01,up
6 hr,TNFSF11,0.155277,0.01,0.01,up
6 hr,TNFSF14,0.196884,0.01,0.01,up
6 hr,TSLP,-0.01386,0.01,0.01,down
24 hr,C1QA,0.696528,0.01,0.01,up
24 hr,CCL19,0.700103,0.01,0.01,up
24 hr,CCL2,1.394381,0.01,0.01,up
24 hr,CCL3,1.389437,0.01,0.01,up
24 hr,CCL4,1.586745,0.01,0.01,up
24 hr,CCL7,2.527671,0.01,0.01,up
24 hr,CCL8,3.102811,0.01,0.01,up
24 hr,CD274,0.674696,0.01,0.01,up
24 hr,CHI3L1,0.686353,0.01,0.01,up
24 hr,CRP,1.786303,0.01,0.01,up
24 hr,CSF1,1.11062,0.01,0.01,up
24 hr,CSF2,1.216969,0.01,0.01,up
24 hr,CSF3,1.477285,0.01,0.01,up
24 hr,CX3CL1,0.804823,0.01,0.01,up
24 hr,CXCL10,3.608604,0.01,0.01,up
24 hr,CXCL11,3.463189,0.01,0.01,up
24 hr,CXCL9,1.404185,0.01,0.01,up
24 hr,FGF19,1.081075,0.01,0.01,up
24 hr,FURIN,0.774475,0.01,0.01,up
24 hr,IFNA1; IFNA13,8.137465,0.01,0.01,up
24 hr,IFNA2,5.386444,0.01,0.01,up
24 hr,IFNG,6.541296,0.01,0.01,up
24 hr,IFNL1,1.274823,0.01,0.01,up
24 hr,IFNW1,4.91119,0.01,0.01,up
24 hr,IL10,2.482052,0.01,0.01,up
24 hr,IL13,0.704025,0.01,0.01,up
24 hr,IL15,1.266068,0.01,0.01,up
24 hr,IL18BP,1.288181,0.01,0.01,up
24 hr,IL1RN,3.28178,0.01,0.01,up
24 hr,IL2,1.30355,0.01,0.01,up
24 hr,IL27,3.0999,0.01,0.01,up
24 hr,IL6,3.428416,0.01,0.01,up
24 hr,LIF,1.739952,0.01,0.01,up
24 hr,LTA,0.52731,0.01,0.01,up
24 hr,TGFB3,0.80022,0.01,0.01,up
24 hr,TNF,1.163662,0.01,0.01,up
24 hr,TNFRSF1B,0.74638,0.01,0.01,up
24 hr,TNFSF10,0.755817,0.01,0.01,up
24 hr,TNFSF11,-1.14533,0.01,0.01,down
24 hr,TNFSF14,1.285143,0.01,0.01,up
24 hr,TSLP,0.600561,0.01,0.01,up
7d,C1QA,0.096294,0.01,0.01,up
7d,CCL19,-0.11437,0.01,0.01,down
7d,CCL2,0.114404,0.01,0.01,up
7d,CCL3,-0.08769,0.01,0.01,down
7d,CCL4,-0.32754,0.01,0.01,down
7d,CCL7,0.273858,0.01,0.01,up
7d,CCL8,0.176277,0.01,0.01,up
7d,CD274,0.100362,0.01,0.01,up
7d,CHI3L1,-0.01687,0.01,0.01,down
7d,CRP,0.649728,0.01,0.01,up
7d,CSF1,-0.40607,0.01,0.01,down
7d,CSF2,0.050149,0.01,0.01,up
7d,CSF3,0.136595,0.01,0.01,up
7d,CX3CL1,0.095283,0.01,0.01,up
7d,CXCL10,0.538942,0.01,0.01,up
7d,CXCL11,0.258211,0.01,0.01,up
7d,CXCL9,-0.20357,0.01,0.01,down
7d,FGF19,0.523121,0.01,0.01,up
7d,FURIN,-0.17286,0.01,0.01,down
7d,IFNA1; IFNA13,0.415023,0.01,0.01,up
7d,IFNA2,0.157556,0.01,0.01,up
7d,IFNG,0.336083,0.01,0.01,up
7d,IFNL1,0.491572,0.01,0.01,up
