timepoint,padj_cutoff,l2fc_cutoff,.metric,.estimator,.estimate,model,truth,num_correct_tp,num_incorrect_fp
1,0.05,0,accuracy,binary,0.27334065589204454,FIT,up,1083,142
1,0.05,0.1,accuracy,binary,0.27616507139494745,FIT,up,1072,153
1,0.05,0.5,accuracy,binary,0.5932841675819865,FIT,up,523,615
1,0.05,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
1,0.1,0,accuracy,binary,0.28856111721324335,FIT,up,1349,139
1,0.1,0.1,accuracy,binary,0.2920131806056802,FIT,up,1335,153
1,0.1,0.5,accuracy,binary,0.5810450337360741,FIT,up,567,724
1,0.1,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
1,0.2,0,accuracy,binary,0.3166483602698886,FIT,up,1710,119
1,0.2,0.1,accuracy,binary,0.32010042366232544,FIT,up,1687,142
1,0.2,0.5,accuracy,binary,0.5758669386474188,FIT,up,593,773
1,0.2,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
1,0.3,0,accuracy,binary,0.3472461948846697,FIT,up,1997,109
1,0.3,0.1,accuracy,binary,0.3497567864428056,FIT,up,1963,143
1,0.3,0.5,accuracy,binary,0.5758669386474188,FIT,up,593,773
1,0.3,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
1,0.4,0,accuracy,binary,0.3827083006433391,FIT,up,2274,81
1,0.4,0.1,accuracy,binary,0.384905068256708,FIT,up,2228,127
1,0.4,0.5,accuracy,binary,0.5760238506198023,FIT,up,594,772
1,0.4,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
1,0.5,0,accuracy,binary,0.4175427585124745,FIT,up,2529,67
1,0.5,0.1,accuracy,binary,0.41942570218107644,FIT,up,2472,123
1,0.5,0.5,accuracy,binary,0.5760238506198023,FIT,up,594,772
1,0.5,1,accuracy,binary,0.9369213871018359,FIT,up,4,196
3,0.05,0,accuracy,binary,0.153773732935823,FIT,up,221,38
3,0.05,0.1,accuracy,binary,0.15973638788639574,FIT,up,221,38
3,0.05,0.5,accuracy,binary,0.5753962027302684,FIT,up,110,139
3,0.05,1,accuracy,binary,0.9568492075945395,FIT,up,0,15
3,0.1,0,accuracy,binary,0.14812490193001726,FIT,up,367,48
3,0.1,0.1,accuracy,binary,0.1539306449082065,FIT,up,364,51
3,0.1,0.5,accuracy,binary,0.5686489879177782,FIT,up,157,213
3,0.1,1,accuracy,binary,0.9568492075945395,FIT,up,0,15
3,0.2,0,accuracy,binary,0.16130550761023066,FIT,up,654,49
3,0.2,0.1,accuracy,binary,0.16836654636748785,FIT,up,651,52
3,0.2,0.5,accuracy,binary,0.5647261886081908,FIT,up,198,268
3,0.2,1,accuracy,binary,0.956692295622156,FIT,up,0,15
3,0.3,0,accuracy,binary,0.18327318374391965,FIT,up,902,54
3,0.3,0.1,accuracy,binary,0.19080495841832731,FIT,up,894,62
3,0.3,0.5,accuracy,binary,0.5642554526910403,FIT,up,200,273
3,0.3,1,accuracy,binary,0.956692295622156,FIT,up,0,15
3,0.4,0,accuracy,binary,0.2176369056959046,FIT,up,1188,43
3,0.4,0.1,accuracy,binary,0.22579632825984622,FIT,up,1173,58
