MM.Entrez,EffectSize
14679,0.015059053
12544,0.270662538
67608,0.130361981
12390,-0.769058108
23849,-0.250585113
29871,-0.005073129
12858,0.313062049
21385,-0.483648145
21387,-0.35846423
18053,-0.422849762
216795,-0.353227522
14158,-0.238944594
74204,0.117670026
209446,0.13003561
12006,-0.370574816
231841,0.010188208
14673,-0.073018004
18400,0.471852358
16415,0.863197396
72058,0.486418512
72614,-0.204436286
235339,0.088239532
66925,0.249950751
12444,-0.117574174
277463,-0.006715802
338370,-0.145930142
20558,-0.485882558
20278,-0.347633053
13497,0.135506348
27027,-0.230326882
66355,0.580237336
23947,-0.548357584
217069,0.142645968
56077,-0.084998158
74617,0.154852693
17428,0.023974835
16414,0.109645475
69692,0.173148271
21987,-0.508033029
18618,0.752951507
12550,-0.016168516
12561,-0.517586494
12716,1.055690386
12029,-0.402834083
17312,-0.212558763
11684,-0.141804011
11877,-0.659994513
12846,0.322888678
66368,0.119983643
13171,0.300887455
23994,-0.087299491
68995,0.227527766
19700,0.315460383
216131,-0.02438944
216527,-0.065273075
21379,0.400201717
50528,-0.20422605
14089,-0.12423496
66108,0.032589868
54156,0.9548535
16818,-1.109621569
30785,-0.013774326
14423,0.013765248
67027,0.027773691
19016,0.326068623
110157,0.064848553
54204,-0.967530192
18591,-0.691579663
11482,-1.029928499
56149,-0.170592653
11479,-0.138848261
216810,-0.16263357
29813,0.258732942
16402,0.478619883
70465,0.481094521
69296,0.58594086
11542,0.58594086
11950,0.306785744
20682,1.118429699
11991,-0.011042218
100040563,0.124011403
57316,-0.124471688
14667,-0.079394028
79264,-0.158797364
12727,0.030669964
20355,0.010492979
15277,1.160608403
360013,0.129796024
107766,-0.811488777
23833,-0.56460566
67477,0.106493198
15414,-0.05285532
16950,1.134551434
18519,-0.027495882
19344,-0.200922285
50723,-0.116192953
234847,-0.055907271
57429,-0.602875981
270106,0.375046062
234852,0.144333692
68275,-0.158438367
20317,0.582918053
259279,0.128405868
67065,0.133322905
21414,-0.912694811
13205,-0.056960503
16161,-0.190732853
140493,0.346009382
237898,-0.129952784
12351,-0.55136822
232223,0.343061762
14103,-0.591585655
269401,0.057635972
13002,-0.014989263
66314,0.0231894
14265,0.031178445
14025,-0.759070668
16189,-0.452552443
59038,-0.123557637
53310,0.363861254
13972,0.089706011
13166,-0.652142441
17385,-0.160851991
20587,0.143386285
22364,-0.821556391
29816,0.396835113
100609,-0.038846326
72960,0.298528337
15401,-0.579561472
17387,0.731399596
20540,-0.159108241
69089,0.265396498
217026,0.084056012
20302,-0.029427181
78369,-0.110785963
67781,0.010403563
66511,-0.147060992
20615,-0.177962128
20198,0.13747176
20200,0.256139243
110880,-0.882635121
15896,-0.93019594
23939,-0.019737701
13855,-0.398055683
27078,-0.176144939
99683,-0.038914433
212706,-0.388155423
66089,0.018656442
52530,0.655158411
72325,0.107534626
57247,-0.144109458
68294,0.259129332
269593,-0.188595601
20500,-0.279645575
330171,-0.271928797
67811,0.335141203
55978,0.111964283
12833,-0.144317501
59093,-0.767907448
16859,-0.318842218
11836,0.046049201
18636,0.368041091
21857,2.446517021
22294,0.200213738
94218,-0.107999249
214895,0.01749946
54387,-0.015069331
18541,-0.060180392
14317,-0.510192765
17119,0.173740275
23885,-0.046604421
66618,-0.10132393
114643,-0.036553245
320634,0.217819596
12313,-0.24773382
28169,0.029562402
13487,-0.213558054
20359,0.495810169
18140,0.48129389
224897,0.295706503
54409,-0.929196961
54135,0.348821655
52857,-0.146044997
15451,0.781199551
12709,-0.003631745
20683,-0.038334499
16421,-1.119565448
60315,0.081570561
19411,-0.415732002
56612,0.153617093
13642,-0.717958164
67223,0.068742592
11858,-0.486892392
27364,-0.240289357
68828,-0.249024215
384061,-0.956426399
11433,0.454225329
12797,-0.878744791
71538,0.096802696
73288,0.033643298
15115,0.036424586
66492,-0.110578892
68612,0.498178841
229512,-0.040864541
12462,0.374211458
56700,-0.037730066
17261,0.060131451
71913,0.55935062
