process,symbol,immune_set,set_size,immune_system,immune_subsystem,cells,btm,group,subgroup
T cell activation and signaling (M5.1),CD52,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD4,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD247,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD2,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CCR7,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),BIN2,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),HLA-DRA,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),IL12RB1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRAT1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),ZAP70,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRAF3IP3,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),HLA-DRB1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PRKAR1B,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),GIMAP6,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),ITK,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),IL2RG,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@ /// TRAC,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3E,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@ /// TRAC /// TRAJ17 /// TRAV20,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PTPRC,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PRKACB,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3D,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),LCK,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3G,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
enriched in T cells (I) (M7.0),IL7R,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),KLRB1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CCL5,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),RASGRP1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRA@,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SH2D1A,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAV20,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),BCL11B,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD6,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD7,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRBC1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),LEF1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),NKG7,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),UBASH3A,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),PTPRCAP,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAC,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRD@,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAT1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SLA2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),RORA,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),MAL,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),EOMES,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),XCL2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),XCL1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ETS1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ZAP70,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SAMD3,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SIT1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
