chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	evidenceSources	elementType	eliteness
chr1	777745	780001	GH01J000777	427	.	777745	780001	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	816657	819386	GH01J000816	342	.	816657	819386	255,102,102	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	826199	828801	GH01J000826	475	.	826199	828801	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	843585	844977	GH01J000843	63	.	843585	844977	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	869600	870322	GH01J000869	259	.	869600	870322	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	922875	923268	GH01J000922	203	.	922875	923268	95,95,95	FANTOM5,dbSUPER	Enhancer	Elite
chr1	939289	945619	GH01J000939	408	.	939289	945619	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	957706	961782	GH01J000957	566	.	957706	961782	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	965687	967590	GH01J000965	545	.	965687	967590	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	975270	979984	GH01J000975	438	.	975270	979984	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	998599	1002377	GH01J000998	660	.	998599	1002377	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1004404	1007247	GH01J001004	453	.	1004404	1007247	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1012381	1015423	GH01J001012	633	.	1012381	1015423	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1019000	1022441	GH01J001019	710	.	1019000	1022441	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1038671	1042366	GH01J001038	328	.	1038671	1042366	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1066456	1071106	GH01J001066	451	.	1066456	1071106	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1071476	1074965	GH01J001071	330	.	1071476	1074965	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1077878	1083312	GH01J001077	464	.	1077878	1083312	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1114999	1117001	GH01J001115	409	.	1114999	1117001	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	1121336	1123886	GH01J001121	349	.	1121336	1123886	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1124162	1126198	GH01J001124	362	.	1124162	1126198	95,95,95	ENCODE(Z-Lab),FANTOM5,dbSUPER	Enhancer	Elite
chr1	1127251	1131231	GH01J001127	399	.	1127251	1131231	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1131816	1138343	GH01J001131	328	.	1131816	1138343	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1149404	1151211	GH01J001149	153	.	1149404	1151211	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	1156217	1160651	GH01J001156	426	.	1156217	1160651	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1161824	1172576	GH01J001162	329	.	1161824	1172576	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1172893	1174942	GH01J001172	350	.	1172893	1174942	255,102,102	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1196867	1204856	GH01J001196	456	.	1196867	1204856	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1204873	1209658	GH01J001204	616	.	1204873	1209658	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1210038	1217195	GH01J001210	468	.	1210038	1217195	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1229548	1233094	GH01J001229	640	.	1229548	1233094	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1235586	1243534	GH01J001235	595	.	1235586	1243534	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1269752	1275230	GH01J001269	687	.	1269752	1275230	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1280712	1282764	GH01J001280	264	.	1280712	1282764	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	1303763	1310645	GH01J001303	648	.	1303763	1310645	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1317505	1319932	GH01J001317	335	.	1317505	1319932	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1330662	1336731	GH01J001330	281	.	1330662	1336731	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	1343366	1351401	GH01J001343	624	.	1343366	1351401	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1356134	1362606	GH01J001356	715	.	1356134	1362606	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1370968	1372830	GH01J001370	322	.	1370968	1372830	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
