chrom	chromStart	chromEnd	name	score	value	geneAssociationMethods	color	geneHancerChrom	geneHancerStart	geneHancerEnd	geneHancerIdentifier	geneHancerStrand	geneChrom	geneStart	geneEnd	geneName	geneStrand
chr1	522927	828801	ENSG00000237094/GH01J000826	16	35.59	eQTLs,TF_co-expression	77,190,238	chr1	826199	828801	GH01J000826	.	chr1	522927	522928	ENSG00000237094	-
chr1	522927	1243534	ENSG00000237094/GH01J001235	13	28.53	eQTLs,TF_co-expression	77,190,238	chr1	1235586	1243534	GH01J001235	.	chr1	522927	522928	ENSG00000237094	-
chr1	777745	780001	ENSG00000237491/GH01J000777	430	1054.88	eQTLs,Distance	119,172,48	chr1	777745	780001	GH01J000777	.	chr1	778769	778770	ENSG00000237491	+
chr1	816657	825138	LINC01128/GH01J000816	9	18.25	eQTLs,Distance	237,177,32	chr1	816657	819386	GH01J000816	.	chr1	825137	825138	LINC01128	+
chr1	825137	828801	LINC01128/GH01J000826	12	26.64	eQTLs,Distance	237,177,32	chr1	826199	828801	GH01J000826	.	chr1	825137	825138	LINC01128	+
chr1	827521	1362606	LINC00115/GH01J001356	15	32.21	eQTLs,TF_co-expression	126,47,142	chr1	1356134	1362606	GH01J001356	.	chr1	827521	827522	LINC00115	-
chr1	827521	1123886	LINC00115/GH01J001121	9	18.69	eQTLs,TF_co-expression	126,47,142	chr1	1121336	1123886	GH01J001121	.	chr1	827521	827522	LINC00115	-
chr1	827795	844977	ENSG00000230021/GH01J000843	2	2.04	eQTLs,Distance	119,172,48	chr1	843585	844977	GH01J000843	.	chr1	827795	827796	ENSG00000230021	-
chr1	869600	876903	FAM41C/GH01J000869	5	7.98	eQTLs,Distance	162,20,47	chr1	869600	870322	GH01J000869	.	chr1	876902	876903	FAM41C	-
chr1	922875	923928	SAMD11/GH01J000922	228	557.49	eRNA_co-expression,Distance	162,20,47	chr1	922875	923268	GH01J000922	.	chr1	923927	923928	SAMD11	+
chr1	923927	945619	SAMD11/GH01J000939	5	7.9	eQTLs,Distance	162,20,47	chr1	939289	945619	GH01J000939	.	chr1	923927	923928	SAMD11	+
chr1	939289	959309	NOC2L/GH01J000939	10	22.05	eQTLs,Distance	0,114,189	chr1	939289	945619	GH01J000939	.	chr1	959308	959309	NOC2L	-
chr1	957706	966497	PLEKHN1/GH01J000957	14	30.04	eQTLs,TF_co-expression	237,177,32	chr1	957706	961782	GH01J000957	.	chr1	966496	966497	PLEKHN1	+
chr1	957706	961782	NOC2L/GH01J000957	561	1377.58	eQTLs,TF_co-expression,Distance	0,114,189	chr1	957706	961782	GH01J000957	.	chr1	959308	959309	NOC2L	-
chr1	957706	961782	KLHL17/GH01J000957	548	1347.54	eQTLs,TF_co-expression,Distance	217,83,25	chr1	957706	961782	GH01J000957	.	chr1	959951	959952	KLHL17	+
chr1	965687	967590	PLEKHN1/GH01J000965	525	1289.67	eQTLs,Distance	237,177,32	chr1	965687	967590	GH01J000965	.	chr1	966496	966497	PLEKHN1	+
chr1	966496	1002377	PLEKHN1/GH01J000998	31	72.31	C-HiC,TF_co-expression	237,177,32	chr1	998599	1002377	GH01J000998	.	chr1	966496	966497	PLEKHN1	+
chr1	975270	982117	PERM1/GH01J000975	437	1071.88	eQTLs,Distance	126,47,142	chr1	975270	979984	GH01J000975	.	chr1	982116	982117	PERM1	-
chr1	998050	1002377	ENSG00000272512/GH01J000998	31	71.88	eQTLs,Distance	119,172,48	chr1	998599	1002377	GH01J000998	.	chr1	998050	998051	ENSG00000272512	-
chr1	998599	1002377	ISG15/GH01J000998	628	1542.78	eQTLs,Distance	77,190,238	chr1	998599	1002377	GH01J000998	.	chr1	1001137	1001138	ISG15	+
chr1	1001137	1015423	ISG15/GH01J001012	609	1496.32	eQTLs,Distance	77,190,238	chr1	1012381	1015423	GH01J001012	.	chr1	1001137	1001138	ISG15	+
chr1	1001284	1071106	HES4/GH01J001066	7	12.4	eQTLs,eRNA_co-expression	162,20,47	chr1	1066456	1071106	GH01J001066	.	chr1	1001284	1001285	HES4	-
chr1	1001284	1007247	HES4/GH01J001004	3	3.39	eRNA_co-expression,Distance	162,20,47	chr1	1004404	1007247	GH01J001004	.	chr1	1001284	1001285	HES4	-
chr1	1019000	1022441	AGRN/GH01J001019	675	1660.05	eQTLs,eRNA_co-expression,Distance	237,177,32	chr1	1019000	1022441	GH01J001019	.	chr1	1020100	1020101	AGRN	+
chr1	1020100	1042366	AGRN/GH01J001038	6	10.57	eQTLs,Distance	237,177,32	chr1	1038671	1042366	GH01J001038	.	chr1	1020100	1020101	AGRN	+
chr1	1059712	1071106	LOC100288175/GH01J001066	5	8.65	eQTLs,Distance	119,172,48	chr1	1066456	1071106	GH01J001066	.	chr1	1059712	1059713	LOC100288175	+
chr1	1066456	1074307	RNF223/GH01J001066	9	19.18	eQTLs,Distance	0,114,189	chr1	1066456	1071106	GH01J001066	.	chr1	1074306	1074307	RNF223	-
chr1	1071476	1074965	RNF223/GH01J001071	340	835.14	eQTLs,Distance	0,114,189	chr1	1071476	1074965	GH01J001071	.	chr1	1074306	1074307	RNF223	-
chr1	1074306	1083312	RNF223/GH01J001077	9	18.83	eQTLs,Distance	0,114,189	chr1	1077878	1083312	GH01J001077	.	chr1	1074306	1074307	RNF223	-
chr1	1077878	1116361	C1orf159/GH01J001077	7	13	eQTLs,Distance	217,83,25	chr1	1077878	1083312	GH01J001077	.	chr1	1116360	1116361	C1orf159	-
chr1	1114999	1117001	C1orf159/GH01J001115	408	1000.86	eQTLs,Distance	217,83,25	chr1	1114999	1117001	GH01J001115	.	chr1	1116360	1116361	C1orf159	-
chr1	1116360	1126198	C1orf159/GH01J001124	10	19.74	eQTLs,Distance	217,83,25	chr1	1124162	1126198	GH01J001124	.	chr1	1116360	1116361	C1orf159	-
chr1	1116360	1123886	C1orf159/GH01J001121	6	10.35	eQTLs,Distance	217,83,25	chr1	1121336	1123886	GH01J001121	.	chr1	1116360	1116361	C1orf159	-
